goal	rule	score
age_group(H1, elder)	age_group(theron_lunaris, elder)	1
lives_in(L3, reedcross)	lives_in(kellan_riverwyn, reedcross)	1
lives_in(cassian_lunaris, moonwatch_castle)	lives_in(cassian_lunaris, moonwatch_castle)	1
adult(alina_riverwyn)	adult(X) :- age_group(X, elder)	1
parent(B, A)	parent(kaela_emberfall, toren_emberfall)	1
member_of_house(H2, house_lunaris)	member_of_house(theron_lunaris, house_lunaris)	1
member_of_house(L2, H1)	member_of_house(faye_thornvale, house_thornvale)	1
lives_in(H, goldmarket)	lives_in(liora_solaris, goldmarket)	1
serves(A, B)	serves(caelan_solaris, aelric_solaris)	1
lives_in(C, granite_bay)	lives_in(kara_stoneward, granite_bay)	1
lives_in(aelric_solaris, A)	lives_in(aelric_solaris, sunspire_keep)	1
age_group(L, adult)	age_group(cassian_lunaris, adult)	1
serves(A, H1)	serves(nella_riverwyn, maris_riverwyn)	1
lives_in(L1, A)	lives_in(corin_riverwyn, rivermeet_hall)	1
lives_in(L3, A)	lives_in(toren_emberfall, emberfall_hold)	1
serves(B, A)	serves(rhea_riverwyn, maris_riverwyn)	1
serves(A, H1)	serves(pyr_emberfall, toren_emberfall)	1
parent(B, A)	parent(myra_emberfall, sylvi_emberfall)	1
parent(C, cedric_thornvale)	parent(isolde_thornvale, cedric_thornvale)	1
lives_in(L3, A)	lives_in(darius_solaris, goldmarket)	1
parent(X, L1)	parent(tessa_stoneward, petra_stoneward)	1
road(A, stonecoast)	road(riverlands, stonecoast)	1
descendant(S, R2)	descendant(X, Y) :- ancestor(Y, X)	1
part_of(A, western_realm)	part_of(sunreach, western_realm)	1
parent(A, R2)	parent(alina_riverwyn, evan_riverwyn)	1
parent(B, A)	parent(corin_riverwyn, maris_riverwyn)	1
serves(A, Z)	serves(myra_emberfall, toren_emberfall)	1
parent(A, R)	parent(theron_lunaris, cassian_lunaris)	1
parent(R2, S)	parent(toren_emberfall, ren_emberfall)	1
age_group(H1, adult)	age_group(nash_stoneward, adult)	1
parent(A, L3)	parent(nyra_lunaris, selene_lunaris)	1
serves(C, A)	serves(darius_solaris, aelric_solaris)	1
member_of_house(S, house_thornvale)	member_of_house(cedric_thornvale, house_thornvale)	1
lives_in(D, A)	lives_in(elara_solaris, sunspire_keep)	1
parent(R2, S)	parent(toren_emberfall, pyr_emberfall)	1
lives_in(X, emberfall_hold)	lives_in(garrick_emberfall, emberfall_hold)	1
serves(A, Z)	serves(briar_thornvale, selene_lunaris)	1
road(stonecoast, H)	road(stonecoast, thornwood)	1
parent(R2, R1)	parent(nyra_lunaris, cassian_lunaris)	1
parent(R2, R1)	parent(myra_emberfall, pyr_emberfall)	1
lives_in(R1, moonwatch_castle)	lives_in(nyra_lunaris, moonwatch_castle)	1
sworn_to(house_solaris, A)	sworn_to(house_solaris, crown_of_asteria)	1
lives_in(Y, A)	lives_in(faye_thornvale, thornvale_manor)	1
located_in(A, S)	located_in(moonwatch_castle, moonfen)	1
lives_in(G, A)	lives_in(evan_riverwyn, rivermeet_hall)	1
road(S, A)	road(riverlands, stonecoast)	1
connected_region(riverlands, G)	connected_region(A, C) :- road(A, B), connected_region(B, C)	1
resident_of(darian_stoneward, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
parent(cassian_lunaris, A)	parent(cassian_lunaris, iris_lunaris)	1
member_of_house(Z, house_solaris)	member_of_house(liora_solaris, house_solaris)	1
serves(A, B)	serves(faye_thornvale, lyra_thornvale)	1
parent(A, R1)	parent(evan_riverwyn, mira_riverwyn)	1
lives_in(S, A)	lives_in(bram_stoneward, stonegate_keep)	1
lives_in(C, sunspire_keep)	lives_in(elara_solaris, sunspire_keep)	1
member_of_house(A, house_solaris)	member_of_house(elara_solaris, house_solaris)	1
connected_region(sunreach, H)	connected_region(A, B) :- road(A, B)	1
lives_in(R1, granite_bay)	lives_in(nash_stoneward, granite_bay)	1
located_in(emberfall_hold, Z)	located_in(emberfall_hold, cinderlands)	1
road(thornwood, D)	road(thornwood, stonecoast)	1
lives_in(L, A)	lives_in(maris_riverwyn, rivermeet_hall)	1
parent(B, X)	parent(brom_emberfall, toren_emberfall)	1
ancestor(toren_emberfall, R)	ancestor(X, Y) :- parent(X, Y)	1
parent(L, lyra_thornvale)	parent(rowan_thornvale, lyra_thornvale)	1
road(A, H)	road(stonecoast, thornwood)	1
resident_of(bram_stoneward, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
parent(C, aelric_solaris)	parent(elara_solaris, aelric_solaris)	1
member_of_house(Y, house_lunaris)	member_of_house(iris_lunaris, house_lunaris)	1
parent(R2, R1)	parent(maris_riverwyn, mira_riverwyn)	1
member_of_house(L, A)	member_of_house(alina_riverwyn, house_riverwyn)	1
parent(B, X)	parent(brom_emberfall, myra_emberfall)	1
lives_in(orion_solaris, A)	lives_in(orion_solaris, sunspire_keep)	1
member_of_house(L3, A)	member_of_house(theron_lunaris, house_lunaris)	1
parent(A, C)	parent(lyra_thornvale, faye_thornvale)	1
lives_in(G, rivermeet_hall)	lives_in(rhea_riverwyn, rivermeet_hall)	1
member_of_house(L2, H1)	member_of_house(iris_lunaris, house_lunaris)	1
member_of_house(B, house_solaris)	member_of_house(seris_solaris, house_solaris)	1
lives_in(B, sunspire_keep)	lives_in(elara_solaris, sunspire_keep)	1
located_in(A, S)	located_in(mistharbor, moonfen)	1
male(A)	male(cedric_thornvale)	1
lives_in(H, A)	lives_in(faye_thornvale, thornvale_manor)	1
parent(B, C)	parent(toren_emberfall, pyr_emberfall)	1
member_of_house(L2, H1)	member_of_house(brom_emberfall, house_emberfall)	1
parent(A, C)	parent(maeve_solaris, darius_solaris)	1
parent(X, L1)	parent(theron_lunaris, selene_lunaris)	1
serves(B, A)	serves(myra_emberfall, toren_emberfall)	1
lives_in(S, A)	lives_in(toren_emberfall, emberfall_hold)	1
lives_in(C, A)	lives_in(owen_stoneward, stonegate_keep)	1
member_of_house(L3, A)	member_of_house(elara_solaris, house_solaris)	1
lives_in(S, A)	lives_in(darius_solaris, goldmarket)	1
seat_of(house_solaris, sunspire_keep)	seat_of(house_solaris, sunspire_keep)	1
serves(B, A)	serves(briar_thornvale, selene_lunaris)	1
member_of_house(L2, H1)	member_of_house(bram_stoneward, house_stoneward)	1
parent(C, A)	parent(myra_emberfall, ren_emberfall)	1
resident_of(nyra_lunaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(L, A)	lives_in(lyra_thornvale, thornvale_manor)	1
resident_of(S, sunreach)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
female(H1)	female(selene_lunaris)	1
parent(myra_emberfall, S)	parent(myra_emberfall, ren_emberfall)	1
serves(A, Z)	serves(owen_stoneward, toren_emberfall)	1
lives_in(L3, A)	lives_in(alina_riverwyn, rivermeet_hall)	1
seat_of(house_lunaris, A)	seat_of(house_lunaris, moonwatch_castle)	1
resident_of(kellan_riverwyn, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
parent(R2, aelric_solaris)	parent(orion_solaris, aelric_solaris)	1
parent(X, L1)	parent(darian_stoneward, bram_stoneward)	1
parent(R2, myra_emberfall)	parent(brom_emberfall, myra_emberfall)	1
lives_in(A, mistharbor)	lives_in(talia_lunaris, mistharbor)	1
parent(A, B)	parent(nyra_lunaris, vessa_lunaris)	1
age_group(myra_emberfall, adult)	age_group(myra_emberfall, adult)	1
resident_of(tessa_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
lives_in(L1, A)	lives_in(owen_stoneward, stonegate_keep)	1
market_in(A, C)	market_in(ash_guild, ashport)	1
age_group(L, adult)	age_group(darius_solaris, adult)	1
parent(L, R)	parent(maris_riverwyn, kellan_riverwyn)	1
serves(A, H1)	serves(seris_solaris, aelric_solaris)	1
within_region(eastern_realm, L3)	within_region(A, B) :- part_of(A, B)	1
parent(A, R)	parent(alina_riverwyn, evan_riverwyn)	1
member_of_house(Z, house_stoneward)	member_of_house(tessa_stoneward, house_stoneward)	1
parent(A, C)	parent(cedric_thornvale, faye_thornvale)	1
parent(R2, S)	parent(lyra_thornvale, wren_thornvale)	1
lives_in(R1, A)	lives_in(myra_emberfall, emberfall_hold)	1
parent(selene_lunaris, S)	parent(selene_lunaris, talia_lunaris)	1
road(S, A)	road(stonecoast, thornwood)	1
part_of(riverlands, D)	part_of(riverlands, central_realm)	1
resident_of(seris_solaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
member_of_house(Y, house_riverwyn)	member_of_house(rhea_riverwyn, house_riverwyn)	1
parent(C, A)	parent(myra_emberfall, pyr_emberfall)	1
lives_in(H1, A)	lives_in(owen_stoneward, stonegate_keep)	1
lives_in(X, goldmarket)	lives_in(darius_solaris, goldmarket)	1
lives_in(A, B)	lives_in(alina_riverwyn, rivermeet_hall)	1
parent(A, L3)	parent(nyra_lunaris, vessa_lunaris)	1
parent(R, A)	parent(elara_solaris, maeve_solaris)	1
female(H1)	female(sylvi_emberfall)	1
parent(R2, R1)	parent(petra_stoneward, nash_stoneward)	1
member_of_house(H, A)	member_of_house(pyr_emberfall, house_emberfall)	1
lives_in(H1, granite_bay)	lives_in(kara_stoneward, granite_bay)	1
parent(A, R2)	parent(orion_solaris, seris_solaris)	1
member_of_house(S, house_riverwyn)	member_of_house(mira_riverwyn, house_riverwyn)	1
lives_in(C, thornvale_manor)	lives_in(faye_thornvale, thornvale_manor)	1
lives_in(R1, thornvale_manor)	lives_in(rowan_thornvale, thornvale_manor)	1
age_group(D, elder)	age_group(galen_stoneward, elder)	1
member_of_house(S, house_lunaris)	member_of_house(selene_lunaris, house_lunaris)	1
serves(X, Z)	serves(cedric_thornvale, lyra_thornvale)	1
resident_of(lyra_thornvale, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
lives_in(Y, A)	lives_in(ren_emberfall, emberfall_hold)	1
lives_in(G, thornvale_manor)	lives_in(briar_thornvale, thornvale_manor)	1
member_of_house(H, H1)	member_of_house(orion_solaris, house_solaris)	1
parent(A, B)	parent(maeve_solaris, darius_solaris)	1
member_of_house(L, house_thornvale)	member_of_house(ash_thornvale, house_thornvale)	1
lives_in(X, goldmarket)	lives_in(liora_solaris, goldmarket)	1
serves(L, A)	serves(nash_stoneward, darian_stoneward)	1
ancestor(maris_riverwyn, R)	ancestor(X, Y) :- parent(X, Y)	1
member_of_house(A, B)	member_of_house(lyra_thornvale, house_thornvale)	1
located_in(rivermeet_hall, Z)	located_in(rivermeet_hall, riverlands)	1
parent(A, R)	parent(cedric_thornvale, wren_thornvale)	1
lives_in(G, reedcross)	lives_in(mira_riverwyn, reedcross)	1
lives_in(nella_riverwyn, rivermeet_hall)	lives_in(nella_riverwyn, rivermeet_hall)	1
lives_in(G, A)	lives_in(orion_solaris, sunspire_keep)	1
parent(B, A)	parent(myra_emberfall, pyr_emberfall)	1
lives_in(D, A)	lives_in(seris_solaris, sunspire_keep)	1
member_of_house(L2, H1)	member_of_house(ren_emberfall, house_emberfall)	1
parent(A, S)	parent(brom_emberfall, toren_emberfall)	1
parent(C, A)	parent(selene_lunaris, leon_lunaris)	1
road(riverlands, L)	road(riverlands, sunreach)	1
lives_in(D, A)	lives_in(talia_lunaris, mistharbor)	1
located_in(reedcross, Z)	located_in(reedcross, riverlands)	1
serves(B, A)	serves(owen_stoneward, toren_emberfall)	1
lives_in(G, ashport)	lives_in(sylvi_emberfall, ashport)	1
parent(C, A)	parent(cassian_lunaris, leon_lunaris)	1
connected_region(riverlands, R)	connected_region(A, B) :- road(A, B)	1
located_in(moonwatch_castle, G)	located_in(moonwatch_castle, moonfen)	1
within_region(A, L3)	within_region(A, C) :- part_of(A, B), within_region(B, C)	1
road(moonfen, G)	road(moonfen, thornwood)	1
parent(C, A)	parent(cedric_thornvale, ash_thornvale)	1
lives_in(H, rivermeet_hall)	lives_in(nella_riverwyn, rivermeet_hall)	1
lives_in(L3, thornvale_manor)	lives_in(lyra_thornvale, thornvale_manor)	1
female(kaela_emberfall)	female(kaela_emberfall)	1
parent(B, A)	parent(rowan_thornvale, cedric_thornvale)	1
resident_of(leon_lunaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
member_of_house(cassian_lunaris, house_lunaris)	member_of_house(cassian_lunaris, house_lunaris)	1
parent(R2, R1)	parent(cassian_lunaris, iris_lunaris)	1
member_of_house(S, house_thornvale)	member_of_house(isolde_thornvale, house_thornvale)	1
parent(A, L3)	parent(maeve_solaris, darius_solaris)	1
lives_in(D, A)	lives_in(tessa_stoneward, stonegate_keep)	1
adult(elara_solaris)	adult(X) :- age_group(X, elder)	1
lives_in(G, A)	lives_in(sylvi_emberfall, ashport)	1
parent(A, B)	parent(corin_riverwyn, nella_riverwyn)	1
male(H1)	male(pyr_emberfall)	1
located_in(rivermeet_hall, L3)	located_in(rivermeet_hall, riverlands)	1
parent(R2, S)	parent(selene_lunaris, iris_lunaris)	1
age_group(ash_thornvale, adult)	age_group(ash_thornvale, adult)	1
sworn_to(A, R1)	sworn_to(house_thornvale, house_lunaris)	1
road(A, L)	road(stonecoast, thornwood)	1
parent(R2, R1)	parent(evan_riverwyn, mira_riverwyn)	1
member_of_house(B, house_thornvale)	member_of_house(ash_thornvale, house_thornvale)	1
part_of(B, A)	part_of(southern_realm, kingdom_asteria)	1
ancestor(aelric_solaris, R)	ancestor(X, Y) :- parent(X, Y)	1
parent(B, A)	parent(selene_lunaris, leon_lunaris)	1
lives_in(X, rivermeet_hall)	lives_in(corin_riverwyn, rivermeet_hall)	1
lives_in(rowan_thornvale, thornvale_manor)	lives_in(rowan_thornvale, thornvale_manor)	1
lives_in(R2, stonegate_keep)	lives_in(owen_stoneward, stonegate_keep)	1
member_of_house(Z, house_thornvale)	member_of_house(cedric_thornvale, house_thornvale)	1
adult(kara_stoneward)	adult(X) :- age_group(X, adult)	1
market_in(A, C)	market_in(granite_guild, granite_bay)	1
member_of_house(L2, H1)	member_of_house(briar_thornvale, house_thornvale)	1
lives_in(Y, moonwatch_castle)	lives_in(selene_lunaris, moonwatch_castle)	1
lives_in(L3, emberfall_hold)	lives_in(toren_emberfall, emberfall_hold)	1
parent(B, A)	parent(cassian_lunaris, leon_lunaris)	1
member_of_house(H2, house_lunaris)	member_of_house(vessa_lunaris, house_lunaris)	1
located_in(A, B)	located_in(goldmarket, sunreach)	1
parent(B, A)	parent(cedric_thornvale, ash_thornvale)	1
member_of_house(Y, house_stoneward)	member_of_house(nash_stoneward, house_stoneward)	1
parent(R2, S)	parent(isolde_thornvale, briar_thornvale)	1
lives_in(L3, rivermeet_hall)	lives_in(alina_riverwyn, rivermeet_hall)	1
parent(C, L3)	parent(darian_stoneward, nash_stoneward)	1
parent(cedric_thornvale, R)	parent(cedric_thornvale, wren_thornvale)	1
resident_of(nash_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(D, rivermeet_hall)	lives_in(rhea_riverwyn, rivermeet_hall)	1
parent(C, A)	parent(kaela_emberfall, myra_emberfall)	1
road(A, S)	road(cinderlands, riverlands)	1
lives_in(G, moonwatch_castle)	lives_in(iris_lunaris, moonwatch_castle)	1
parent(A, L3)	parent(lyra_thornvale, faye_thornvale)	1
parent(A, R1)	parent(brom_emberfall, garrick_emberfall)	1
lives_in(H1, ashport)	lives_in(sylvi_emberfall, ashport)	1
lives_in(D, sunspire_keep)	lives_in(caelan_solaris, sunspire_keep)	1
parent(A, S)	parent(aelric_solaris, liora_solaris)	1
parent(R2, S)	parent(kaela_emberfall, toren_emberfall)	1
part_of(A, G)	part_of(southern_realm, kingdom_asteria)	1
age_group(D, elder)	age_group(elara_solaris, elder)	1
resident_of(A, riverlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
serves(C, A)	serves(leon_lunaris, selene_lunaris)	1
member_of_house(L1, A)	member_of_house(owen_stoneward, house_stoneward)	1
ancestor(cassian_lunaris, B)	ancestor(X, Y) :- parent(X, Y)	1
child(S, R2)	child(X, Y) :- parent(Y, X)	1
ancestor(maris_riverwyn, A)	ancestor(X, Y) :- parent(X, Y)	1
parent(aelric_solaris, S)	parent(aelric_solaris, caelan_solaris)	1
lives_in(Y, A)	lives_in(elara_solaris, sunspire_keep)	1
lives_in(C, moonwatch_castle)	lives_in(theron_lunaris, moonwatch_castle)	1
member_of_house(L2, H1)	member_of_house(petra_stoneward, house_stoneward)	1
male(H1)	male(aelric_solaris)	1
member_of_house(A, B)	member_of_house(isolde_thornvale, house_thornvale)	1
lives_in(D, greenhollow)	lives_in(ash_thornvale, greenhollow)	1
member_of_house(H2, A)	member_of_house(rowan_thornvale, house_thornvale)	1
member_of_house(L3, A)	member_of_house(rhea_riverwyn, house_riverwyn)	1
parent(cedric_thornvale, S)	parent(cedric_thornvale, ash_thornvale)	1
resident_of(garrick_emberfall, cinderlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(R2, S)	parent(orion_solaris, maeve_solaris)	1
parent(R2, S)	parent(myra_emberfall, sylvi_emberfall)	1
lives_in(R2, reedcross)	lives_in(kellan_riverwyn, reedcross)	1
age_group(A, B)	age_group(leon_lunaris, adult)	1
lives_in(B, stonegate_keep)	lives_in(galen_stoneward, stonegate_keep)	1
parent(A, S)	parent(theron_lunaris, selene_lunaris)	1
parent(B, A)	parent(alina_riverwyn, evan_riverwyn)	1
parent(R2, S)	parent(corin_riverwyn, maris_riverwyn)	1
part_of(A, H)	part_of(sunreach, western_realm)	1
ancestor(cassian_lunaris, C)	ancestor(X, Y) :- parent(X, Y)	1
serves(A, maris_riverwyn)	serves(evan_riverwyn, maris_riverwyn)	1
controls_region(house_solaris, L3)	controls_region(H, R) :- seat_of(H, S), located_in(S, R)	1
located_in(A, Z)	located_in(granite_bay, stonecoast)	1
member_of_house(L, A)	member_of_house(sylvi_emberfall, house_emberfall)	1
parent(A, C)	parent(selene_lunaris, talia_lunaris)	1
located_in(mistharbor, Z)	located_in(mistharbor, moonfen)	1
resident_of(mira_riverwyn, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(petra_stoneward, B)	parent(petra_stoneward, kara_stoneward)	1
parent(aelric_solaris, A)	parent(aelric_solaris, liora_solaris)	1
parent(B, C)	parent(selene_lunaris, iris_lunaris)	1
resident_of(Y, cinderlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(H1, A)	lives_in(selene_lunaris, moonwatch_castle)	1
parent(A, R)	parent(isolde_thornvale, cedric_thornvale)	1
lives_in(S, emberfall_hold)	lives_in(toren_emberfall, emberfall_hold)	1
lives_in(C, A)	lives_in(ren_emberfall, emberfall_hold)	1
resident_of(liora_solaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(L, A)	lives_in(darian_stoneward, stonegate_keep)	1
serves(X, Z)	serves(bram_stoneward, darian_stoneward)	1
resident_of(C, western_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
member_of_house(L2, H1)	member_of_house(toren_emberfall, house_emberfall)	1
parent(B, C)	parent(isolde_thornvale, lyra_thornvale)	1
connected_region(cinderlands, G)	connected_region(A, C) :- road(A, B), connected_region(B, C)	1
member_of_house(L, A)	member_of_house(bram_stoneward, house_stoneward)	1
parent(A, S)	parent(darian_stoneward, bram_stoneward)	1
lives_in(R1, A)	lives_in(petra_stoneward, stonegate_keep)	1
age_group(sylvi_emberfall, adult)	age_group(sylvi_emberfall, adult)	1
parent(A, L3)	parent(orion_solaris, maeve_solaris)	1
lives_in(B, sunspire_keep)	lives_in(aelric_solaris, sunspire_keep)	1
parent(X, D)	parent(nyra_lunaris, selene_lunaris)	1
female(myra_emberfall)	female(myra_emberfall)	1
lives_in(petra_stoneward, A)	lives_in(petra_stoneward, stonegate_keep)	1
parent(B, C)	parent(isolde_thornvale, briar_thornvale)	1
age_group(L, adult)	age_group(evan_riverwyn, adult)	1
resident_of(kaela_emberfall, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
lives_in(D, thornvale_manor)	lives_in(isolde_thornvale, thornvale_manor)	1
parent(R, A)	parent(nyra_lunaris, selene_lunaris)	1
parent(A, R2)	parent(petra_stoneward, kara_stoneward)	1
parent(B, X)	parent(petra_stoneward, bram_stoneward)	1
serves(C, A)	serves(ash_thornvale, lyra_thornvale)	1
lives_in(Y, A)	lives_in(cassian_lunaris, moonwatch_castle)	1
member_of_house(R1, A)	member_of_house(talia_lunaris, house_lunaris)	1
lives_in(R1, emberfall_hold)	lives_in(toren_emberfall, emberfall_hold)	1
